ID,MX2_WI_SEASON,MX2_WI_SEASON_INFO,MX2_WI_SEASON_TYPE,MX3_CONT_INT,MX3_CONT_INT_INFO,MX4_WFREQ,MX4_WFREQ_INFO,MX4G_WFREQ_AWAR,MX4G_WFREQ_AWAR_INFO,MX5_WFREQ_NDAYS,MX5_WFREQ_NHRS,MX5_WFREQ_HRS/DAY,MX5_WFREQ_HRS/WEEK,MX5_WFREQ_HRS_INFO,MX5_WFREQ_HRS_INFO2,MX6_WPRESS,MX6_WPRESS_INFO,NOTES
199,"época de calor, mayo","avisan c/anticipaø, cuando hacen limpieza",,intermitente,hasta una semana han estado,diario,,,,7,4,4/7,28,8am a 12pm,8am a 12pm; diario,Sí,,
200,"abril, mayo",se reduce un 50%,,intermitente,solamente tiene agua de 8 am-11:30,diario,,,,7,3,3/7,21,todos los días solo por 3 hrs al día,todos los días solo por 3 hrs al día,No,"a veces, no siempre tienen buena presión. La cisterna les ayuda mucho.",
201,"semana santa, junio, julio",cada 4 meses cierran el agua ,,intermitente,"de 9-11 de la mañana, todos los días",diario,,,,7,3,3/7,21,"diario, solo 3 horas al día","diario, solo 3 horas al día",No,"No, porque solo sale con presión 3 horas al día. El resto del día es agua de la bomba",
202,semana santa,--gente se moja. casi no cae agua. les avisan que se corta x eso. multan x desperdicia. cortan x 3 días. --> fuera de esto no hay fechas como tal. muy variable,,N/A,"siempre llega, casi no batallan. cortan cuando hacen manteø--> 2 o 3 días. total cortan 2 veces al año",diario,,,,7,3,3/7,21,9am-12pm,diario; 9am-12pm,Sí,se turnan para lavar ropa. tina para lavar trastes. dejan manguera para que se llene pileta les alcanza para todo.,
203,"marzo, abril",,,intermitente,"a veces corta x 3 días, o les cae un chorrito chiquito",diario,,,,7,3-4,3-4/7,24.5,9am hasta 12-1pm. Podría ser menos pero no la notan x cisterna,9am hasta 12-1pm. Podría ser menos pero no la notan x cisterna,Sí,"a veces. llave directa de calle a cisterna. tarda más en llegar, baja presión. solo quienes viven en porte baja. ella vive (?)",
204,"marzo, abril, mayo, junio",,,intermitente,de 8am-12 de la tarde,diario,,,,7,4,4/7,28,"diario, solo 4 hrs al día","diario, solo 4 hrs al día",Sí,,
301,N/A,no escasea,,intermitente,"1 vez a la semana, se llena 1 tinaco y 2 piletas. (es para ella y p/la gente que renta (7 mas personas)). su idea de escasez es particular",1 a 3 días a la semana,,,,2,2-3,2-3/2,5,"2 días y llega 2 o 3 hrs. x ejemplo, llega un martes y un viernes, o lunes y jueves","2 días y llega 2 o 3 hrs. x ejemplo, llega un martes y un viernes, o lunes y jueves",Sí,si llega c/presión para llenar buena las piletas. ella tiene aparte 2 tambos. Ese día que llega puede lavar y dejar todo lleno.,
302,N/A,cuando anuncian que haran limpieza del cutzamala,,intermitente,"de 8am-2pm, 5 días a la semana",4 a 6 días a la semana,,,,5,6,6/5,30,"de 8am a 2pm, 5 días a la semana","de 8am a 2pm, 5 días a la semana",Sí,,
303,semana santa,"en epocas de semana santa. llega 2 veces x semana, igual de 8 a 6pm.",,intermitente,"llega a las 8am-6pm todos los días, pero el dgo baja un poco (llega de 8am-3pm)",1 a 3 días a la semana,,,,5,10,10/5??,50,lunes a viernes de 8am a 6pm.,lunes a viernes de 8am a 6pm; pero el domingo baja un poco (8am a 3pm),Sí,,preg5: 10/5 or preg3: 10/6 + 7/1
304,"abril, mayo",,,intermitente,preg 5,diario,,,,7,2,2/7,14,llega 7 días a la semana por 2 horas en la mañana,llega 7 días a la semana por 2 horas en la mañana,Sí,,
305,"arreglos/mantenimiento, N/A",no percibe ningun mes. Solo cuando se rompen tuberias,,intermitente,preg 5,diario,,,,7,5-6,5-6/7,38.5,"llega 7 días a la semana, por 5-6 hrs","llega 7 días a la semana, por 5-6 hrs",Sí,,
306,semana santa,"la cortaron 3 días, pero como recolectan no impacto en casa",,intermitente,"tienen agua de 7 días, 6 llega agua de 8am-12 del día. Cuando escasea, un día no llega",1 a 3 días a la semana,,,,7,4,4/7,28,"tienen agua 7 días, y llega agua de 8am a 12 del día","tienen agua 7 días, y llega agua de 8am a 12 del día",Sí,a veces hasta tiene mucha presión (necesidades!!),
307,N/A,"en la pandemia, semanas si llego, semanas no",,N/A,"(intermitente) todos los días de 7am a 12 del día. P/ahorrar agua, ellos guardan y almacenan. ",diario,,,,7,5,5/7,35,"todos los días, de 7am a 12 del día. ","todos los días, de 7am a 12 del día. (preg 4 dice oir audio)",Sí,,
308,N/A,semana. cortan el agua hasta una semana o dos días. en esos días la almacenan tb,,intermitente,llega a perfil de las 6am-12:30 d´âs. Tienen tinacos y ahi la almacenan,4 a 6 días a la semana,ya fue la semana santa y una semana antes de eso la quitaron 1 semana,,,"4, 5, 6",6.5,6.5/4-6,32.5,llega a perfil de las 6am y la cortan 12:30 día. Tienen tinacos y ahi almacenan,llega a perfil de las 6am y la cortan 12:30 día. Tienen tinacos y ahi almacenan,Sí,,
309,abril,en abril la quitaron. Todo el mes. Pidieron pipas p/ese mes. A veces les piden c/politicos porque no te cortan(?). pagaron 1600 para la pipa esta ves.,,N/A,"(intermitente) lu, miercoles, y viernes, le llega en la mañana de 9am-12 día",1 a 3 días a la semana,pero le llegó muy poquita,,,"1, 2, 3",3,3/1-3,6,"lunes, miercoles y viernes 9am a 12 día","lunes, miercoles y viernes 9am a 12 día",No,"xq como esta sucia, tapa los tubos x donde pasa el agua.",
310,abril,,,intermitente,"llega en la mañana, a las 8:00am-4:00pm. En abril se fue 3 días",4 a 6 días a la semana,,,,7,8,8/7,56,5 días de 8am a 4pm,5 días de 8am a 4pm,Sí,,
311,"abril, mayo",,,intermitente,"recibe cada 15 días, por 5-6 días",1 a 3 días a la semana,,,,"1, 2, 3",?,??/1-3,,"llega un jueves, se va el sabado y pasa 15 días para que vuelva a recibir agua.","llega un jueves, se va el sabado y pasa 15 días para que vuelva a recibir agua.",Sí,,
312,semana santa,"semana santa, se la quitaron viernes santo y sábado de gloria que todos se mojan.",,intermitente,"de 8am a medio día, toda la semana",diario,excepto viernes y sabado de gloria,,,7,4,4/7,28,"de 8am a medio dia, toda la semana","de 8am a medio dia, toda la semana",Sí,,
313,diciembre,"se fue como 2 semanas. Escuchar audio. Solo le toco esa vez, no es constante la escasez. ",,continua,antes vivía más arriba de la misma colonia y ahí sí habia agua solo en la mañana,diario,,,,7,??,??/7,168,,adaptacion preg 3,Sí,,continua? 24/7
314,"abril, mayo, junio",,,intermitente,"2 hrs al día, una vez a la semana. Han llegado a pasar hasta 3 meses sin agua.",1 a 3 días a la semana,,,,3,2,2/3??,6,"lunes, miercoles, y viernes, solo 2 hrs al día","lunes, miercoles, y viernes, solo 2 hrs al día (preg 3: 1 vez a la sem)",Sí,,preg5
315,,,,intermitente,agua no llego por 3 semanas; horario no es fijo,,,,,,,,,,,,,
316,semana santa,cortan ela gua. servicio publico de agua casi no llega se abastece de pipa.,,intermitente,"llega 2 veces al mes, 1 día completo a principios de mes y 1 día completo a finales de mes. (no le ha llegado agua desde semana santa.)","en todo el mes, 1 a 3 veces",,,,N/A,?,??,0,no ha llegado agua a su vivienda. Piden pipa.,"llega 2 veces al mes, 1 día completo a principios de mes y 1 día completo a finales de mes.",No,"no, sale muy poca agua",no ha llegado agua a su vivienda. piden pipa
317,"semana santa, abril",la cortan,,intermitente,3 hrs al día. No llega todos los días. Aveces solo llega 4 días a la semana.,4 a 6 días a la semana,,,,4,3,3/4,12,"3 hrs, 4 días/sem","3 hrs, 4 días/sem",No,sale con baja presión,
318,abril,,,intermitente,"diario, de 2-3 hrs",diario,,,,7,2-5,2-5/7??,24.5,"todos los días, solo 2 a 3 hrs. De las 7am-12pm","todos los días, solo 2 a 3 hrs. De las 7am-12pm",Sí,,2-3 hrs x 7 or 5hrs x 7 or 2-5 hrs x 7
319,"semana santa, abril",usualmente semana santa. abril usualmente tiene,N/A,Intermitente,,Diario,"hace 2 semanas llega diario, pero 8am-2pm. Antes de eso, nada x 2 semanas. Reciente, últimas 2 semanas, todo el día",se da cuenta,"se da cuenta porque cocina al lado de cisterna, y suena cuando llega. Hay un ? pero igual esta pendiente de q un se riegue",7,6,6/7,42,informacion basada en la respuesta de la p4,,Sí,,
320,"época de calor, abril, marzo, feb","en la temporada de calor, feb, marzo, abril. Quiza xq en esta epoca la gente la usa más",N/A,Intermitente,,Diario,,no se da cuenta,,7,3,3/7,21,"Lunes a domingo, 9am a 12 día.","9-12, Lun-Dom",Sí,,
321,"epoca de lluvias, julio, agosto",Quizá porque sus vecinos si tienen algunos captación de lluvia,N/A,Intermitente,lun-dom de 8:30 o 9:00am-12:00 día,Diario,"en semana santa a ella no le quitaran el agua, quizá xq el conducto de su colonia es ""principal"". escuchar audio",no,,7,3,3/7,21,lun-dom de 8:30~9:00am-12:00 día,lun-dom de 8:30 o 9:00am-12:00 día,Sí,,
322,semana santa,"Sí, en semana santa xq la gente la desperdicia mucho. Se las quitan como 15 días y deben pedir pia.",cortan/deja de caer,Intermitente,Lunes a dom de 8:30 a 11:30 am,4 a 6 días a la semana,,no response,,7,3,3/7,21,Lunes a dom de 8:30 a 11:30 am,Lunes a dom de 8:30 a 11:30 am,no response,solo en un lapso de 2 hrs,
323,semana santa,por la tradición de mojarse,N/A,Intermitente,"Diario de lunes a domingo, 20 mins. En las mañanas como a las 8:00 am.",Diario,"Diario de lunes a domingo, 20 mins. En las mañanas como a las 8:00 am.",no response,,7,0.3 (20 minutos),0.3/7 (140 mins/sem),2.3,Normal le llegó.,20 mins cada día,Sí,con esos 20 minutos se llenan sus tinaco y así.,
324,semana santa,en semana santa si se las quitan todos los domingos de ese lapso xq tienden a mojarse,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,"Solo llega los domingos como dos horas de 5 am o 6, 7 am.",no response,,1,2,2/1,2,,"solo llega los domingos dos horas de 5 am o 6, 7 am.",Sí,,
325,semana santa,semana santa la quitan. se la quitan 1 semana.,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,"lunes, martes, miércoles de 8 am-12 día.",no response,,3,4,4/3,12,"lunes, martes, miércoles de 8 am-12 día. Se turnan para apartar el agua. Se organiza c/sus vecinos y su esposo entre todos se ayudan.",,Sí,,
326,"abril, mayo",abril-mayo,N/A,Intermitente,,Diario,"poquito, por las noches --> madrugada --> llega a cisterna, luego mañana (8 a 10) encienden bomba y mandan a todas las casas",no response,,7,~2,~2/7,14,(8 a 10),,Sí,,
327,igual,,igual,no response,,Diario,algunos días llega poca. Hilito. Hay días en q sale más de lo regular.,no response,,7,no response,no hay respuesta definitiva para horas pero es diario (7 días),no sabemos horas,,,Sí,por tambo,
328,"época seca, marzo, abril, mayo, junio","tiempos de sequía, disminuye (marzo, abril, mayo, junio). pozo, no sube c/fuerza. La usan bien, no desperdician.",disminuye,Intermitente,,Diario,pero poca,sí,"no cae a las 9, ya no cae.",7,2-3,2-3/7,17.5,9 am~12 pm u 11 am,,Sí,,
329,"primavera, semana santa","Al año, cortan 3 veces al año. Se ha ido hasta por un mes. Primavera-mojarse x semana santa --> escasea más, llega poca. Puede q llegue de 6 am-10 am.",cortan/deja de caer,Intermitente,,Diario,excepto 1 día 1/2,sí se dan cuenta,"hace 3 días cortaron agua--1 día y medio c/agua de cisterna. Abuelo se da cuenta--manguera conectada a toma-- suena, saben q llega.",7,6,6/7,42,6 am~12 pm,,Sí,A veces manguera se topa y agua no sube. 1 c/2 semanas mamá la limpia. Ahora esta a cargo de limpiar el tinaco--> 1 a la semana o turnos,
330,N/A,"no les llega ahora, hace 1 mes nada nada. Cuando vuelve de periodos largos--gusanitos negros",N/A,Continua,,no ha llegado en las ultimas 4 semanas,normal% tienen todo el día todos los días,N/A,llave cisterna siempre abierta,N/A,N/A,no han recibido en agua en 4 semanas,0,"este año es especial, les ha faltado más. Antes caía limpia y solo cortan en semana santa. Cree q ya no queda.",,No,lavar ropa,
390,"marzo, abril, mayo",la cortan xq gente la tira. Abril y mayo este año si escaseó más. no caía x 8 días,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,N/A,,"1, 2, 3",N/A,1-3 días,no sabemos horas,"A veces 1 día a veces 3. Usual% les cae miércoles (medio día solamente), jueves, viernes, sábado mañana (mejor de los casos). A veces solo viernes",no sabemos las horas que cae (si cae miercoles--> medio día solamente y si cae sábado--> mañana solamente),Sí,no siempre,
391,"semana santa, abril","Semana santa, abril, porque en este tiempo se moja la gente y por las vacaciones de la mayona, desperdicien el agua y la quitan.",cortan/deja de caer,Intermitente,"2-3 veces x semana, varia el horario",1 a 3 días a la semana,,sí se dan cuenta,si deja de llegar,"2, 3",algunas horas,varia el horario/2-3,varía,"2 o 3 veces en la semana, algunas horas durante el día o la noche. Es variable al tiempo.",intermitente 2-3 veces por semana,No,"porque a veces es muy poquita, un chorrito nada más",
392,"marzo, abril","Marzo-abril, no se porqué.",N/A,Continua,,Diario,,sí se dan cuenta,"Sí nos damos cuenta si no hay agua, porque estamos en planta alta y no sube agua cuando no hay. (Edificio con 3 deptos)",7,24,24/7,168,Diario (24 hrs). En la noche jay mayor presión.,,Sí,,
393,"marzo, abril","marzo-abril, porque hace más calor y se ocupa más agua.",N/A,Intermitente,2 veces a la semana,1 a 3 días a la semana,,sí se dan cuenta,si deja de llegar,2,8,8/2,16,"Miercoles y sabados, de las 7am- 3pm.",,No,No es con buena presión.,
394,"marzo, abril, mayo, junio, julio, agosto, septiembre","Marzo-abril hasta septiembre escasea, creo que es por las elecciones que nos la quitan.",cortan/deja de caer,Intermitente,,Diario,"De lunes a miércoles escasea, jueves y viernes es cuando hay más.",sí se dan cuenta,sí nos damos cuenta cuando no hay agua.,7,N/A,hasta 2-3 pm (2 días) y hasta 11 am (5 días) /7,varía,"Diario, pero los días que más hay son jueves y viernes. Hasta 2-3 pm y los demas días solo hasta 11 am. NO cae en las noches ni madrugadas.",Viernes único día con buena presión. Horas que reciben no son claras.,No,El viernes es el unico día que llega con buena presión para todos neustras actividades,
395,"semana santa, marzo, abril","Marzo-abril, en semana santa avisan que van a quitar el agua.",cortan/deja de caer,Continua,8am-5pm,Diario,,sí se dan cuenta,Sí nos damos cuenta,7,9,9/7,63,Diario 8am-5pm,,Sí,,
396,no sabe,no he puesto cuidado,no sabe,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,siempre nos damos cuenta,"2, 3",24,24/2-3,60,"2-3 veces a la semana, todo el día y noche.","todo el día y noche, 2-3 veces a la semana",Sí,,
397,igual,todo el año les cae igual. en la noche cae más. En la tarde todos lavan,igual,Intermitente,,Diario,,podria ser,,7,~24,24/6 + 7/1,151,todo el dia/ sabado falta- cae menos y se corta a las 2pm. Regresa en madrugada. (~7 hrs los sabados),24 hrs todos los días excepto los sabados (7am-2pm; 7 hrs; hice un average=21.5 hrs),No,esperar q se llena pileta para lavar,
398,igual,,igual,Intermitente,,Diario,,sí se dan cuenta,deja de caer pero sí nos damos cuenta porque se oye,7,6,6/7,42,"Diario, por las mañanas de 6-12 am (?)",?dice por las mañanas 6-12 am (quiere decir 6 am-12 pm?),Sí,,
399,semana santa,semana santa. A veces avisan q no va a caer--> siempre avisan,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,podria ser,tienen q checar llave,"2, 3, 4",7-8,7-8/2-4,22.5,"jueves, viernes, a veces sábado, a veces dgo. 7 am-2 o 3 pm","jueves, viernes, a veces sábado, a veces dgo. 7 am-2 o 3 pm",No,han tenido q dejar lavar diario--ahora solo fin de semana. a veces bañarse menos días.,
410,semana santa,Semana Santa. Cree que el gobierno cierra el suministro para que no la tiren.,N/A,Intermitente,,1 a 3 días a la semana,dice 1 a 3 tres y luego dice que llega 7 días/semana porque hace 15 días no llegaba tan frecuentemente,sí se dan cuenta,Sí se dan cuenta (por la llave),7,no sabe,no sabe/7,varía,"Ahorita llega 7 días a la semana Lunes a Domingo (ultimamente). Aveces hay en la mañana o en la noche, no sabe a que hora hay agua.","aveces hay en la mañana o en la noche, no sabe a que hora hay agua. ",Sí,Ahorita. Hace 15 días no.,
411,"abril, mayo",Abril a mayo empezó problema--> no idea por que. en noticias dijeron q bajó nivel Cutzamala. Regularmente hay agua siempre solo en llave de abajo y no sale tan sucia--> mayor parte del día. Caía siempre. Sucia nunca había llegado pero si siempre abril y mayo cae poca.,disminuye,Intermitente,no hay respuesta pero basado en las otras respuestas diria que es intermitente.,4 a 6 días a la semana,"aveces no alcanza a subir a la 1era planta--> solo llega a planta baja--> cerca de toma principal, resto no llegaba",podria ser,no tinaco ni cisterna. Toda la última semana ha caído pero sucia y poca presión.,"4, 5, 6",no sabe ,varía mucho/4-6,varía,llenar diario tambos y cubetas. Varía mucho. Aveces esperando desde 5 am que caiga--> dejan llave abierta--> se escucha cuando cae. a veces no llegaba un día y cuando cae es c/mucha tierra.,dice que llega agua entubada 4-6 días/sem. pero entonces dice que llena tambos y cubetas diario,No,para lavadora no. A la almacena por el día o para lavar --> no los dos,
412,semana santa,Semana Santa. Como un mes les cortaban el agua despues de las tres.,cortan/deja de caer,Continua,,Diario,,siempre hay agua/no deja de caer,Siempre hay agua--no deja de caer. Tiene una llave que el agua sale directo de la toma de agua y sale todo el día.,7,24,24/7,168,"Después de las 3 de la tarde baja la presión, pero nunca deja de caer.",baja presion después de las tres,Sí,,
413,semana santa,semana santa--la cortan el viernes y vuelve en domingo. Cree q por sábado de gloria,cortan/deja de caer,Intermitente,,Diario,pero no todo el día,podria ser,,7,N/A,NA/7,varía <24,en la mañana hay más. cortes no son predecibles! // semana pasada se corto unos 2 días x un par de horas,no cae todo el día. es intermitente. hay más en la mañana,Sí,,
414,semana santa,en vacaciones de semana santa disminuye un poco pero no deja de caer el agua.,disminuye,Continua,,Diario,Siempre llega muy bien,siempre hay agua/no deja de caer,No deja de caer el agua,7,24,24/7,168,"todos días de lunes a domingo, todo el día.",,Sí,,
415,"semana santa, marzo, abril",semana santa --marzo y abril--dicen q la cortan. // regular% otros años este año ha faltado mucho el agua--no sabe xq.,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,no se dan cuenta,si,2,no todo el día,<24/2,no sabemos horas,"2 veces x semana, no todo el día",no cae todo el día,No,si viene sucia baja presión,
416,semana santa,Semana santa. La quitan por la gente que gasta agua.,cortan/deja de caer,Intermitente,,Diario,Algunas horas,no se dan cuenta,Sí. no se dan cuenta,7,<24,<24 (~12)/7,no sabemos horas; maybe around 12,Sí. No se da cuenta. En la noche no hay agua.,en la noche no hay agua / cae algunas horas, a veces,Aveces.,
417,semana santa,"semana santa--se corta--solo cae en las noches. antes no les había faltado pero, ahora cae bien temprano y luego se corta",cortan/deja de caer,Intermitente,,Diario,pero muy poca,N/A,tienen llaves (baño-cocina) conectadas directo a afuera,7,24,24/7,168,todo el día pero poquita//solo lavadero esta conectado al tinaco. caía más pero última% les cae poquita--en la colonia se ha ido mucho.,pero sale poca,No,les cae poquita/lavar. no puede enjuagar bien.,
418,"marzo, abril, mayo","Marzo-mayo; en muchas regiones hay escasez de agua, creo que igual pasa aquí.",disminuye,Continua,,Diario,,sí se dan cuenta,"Dejó de llegar 3 o 4 días (al mes), pero sí nos pre(?).",7,24,24/7,168,"Diario, todo el día y noche","diario, todo el día y noche; continua",Sí,,
419,"verano, junio, julio","vacaciones verano--junio--> hacen arreglos--les avisan que va a disminuir
julio--> 2 o 3 días. La quitan viernes, sab, dgo",cortan/deja de caer,Intermitente,,Diario,,podria ser (q no se dan cuenta),podría ser un día no cae y no se dan cuenta,7,7-8,7-8/7,52.5,en la tarde ya no cae. 6 o 7 am hasta 2 pm,diario; 6 o 7 am hasta 2 pm,Sí,esta calle llega c/buena presión. Más arriba no. Calle de otra dicen q no la (?),
470,N/A,no. regular.,igual,Continua,antes dijo 1-3 días y que 5 días sin agua,1 a 3 días a la semana,,no se dan cuenta,no se darían cuenta. solo se dan cuenta en tarde y noche --> chorro baja presión y pileta no se llena completa%,2,24,24/2,48,"5 días sin agua // última semana si todo el día--> buena presión. ella cree q estaban abriendo calles, cayó hasta c/piedras y no avisaron",?llega 1-3 días a la semana; 5 días sin agua; continua,No,de la calle es bajita--> ahorita ya no (últimos 5 meses),
471,semana santa,En semana santa la recortan para que no se desperdicie en sabado de gloria.,cortan/deja de caer,Intermitente,,Diario,"en las madrugadas, de 3 am c/a 10 u 11 am. Cuando lava lo hace muy temprano y por el resto del día almacena en cubetas.",N/A,,7,7-8,7-8/7,52.5,comentarios en 4) -->igual,diario; 3 am c/a 10 u 11 am,a veces,solo en la mañana. a veces debe llenar una tina en lo que hace otras cosas,
472,N/A,no. siempre igual. (see preg 6),igual,Continua,,Diario,,N/A,no tiene cisterna ni tinaco,7,24,24/7,168,24/7,,Sí,AHORA // marzo-abril -->no,
473,N/A,solo hasta 1 mes sintió que no llegó agua. A otros vecinos les pasó igual así que se unieron p/protestar y se dieron cuenta que las pipas estaban topando de la bomba que los abastece.,N/A,Continua,,Diario,24/7 --> solo cambia la presión. Llega bien de 11 pm a 5 am.,podria ser (q no se dan cuenta),sí podría pasar,7,24,24/7,168,24/7,,Sí,,
474,"primavera, marzo, abril","marzo, abril (primavera)--> no avisan. --> poca presión y la calidad seguía buena",disminuye,Continua,,Diario,,podria ser (q no se dan cuenta),,7,24,24/7,168,buena presión,,Sí,,
475,semana santa,semana santa,N/A,Continua,preg 4 y 5: llegó 2 veces x semana,N/A,2 veces x semana (escaseó). Hace 2 semanas no llegó 1 día.,sí se dan cuenta,"Sí se dan cuenta, porque la toma que tienen en el baño le llega de la toma directa.",2,N/A,NA/2 ? o 24/7,168 ?,"escaseó y le llego 2 veces x semana, y como no tiene fuente de almacenamiento no aportó.","preg 4 y 5: 2 veces/semana 
preg 3: continua",No,"cae poco, pero puede usarlo",
476,"época de calor, marzo, abril, mayo",tiempos de calor--nunca batallan con el agua. --> les cae menos marzo-abril-mayo,disminuye,Continua,,Diario,,N/A,tienen otras llaves directo a toma.,7,24,24/7,168,,,Sí,buena presión,
477,época seca,en estas fechas por la sequía,disminuye,Intermitente,Diario 6am-12 día,Diario,de 6 am-12 día,no se dan cuenta,Sí.,7,6,6/7,42,"Diario, 6am-medio día",Diario; 6am-12 día,a veces,"a veces, a veces llega con fuerza, otras. pero frecuentemente sí llega.",
478,"semana santa, abril","abril-semana santa, 1 semana. // casa anterior",N/A,Intermitente,,1 a 3 días a la semana,2 semanas cayó. solo 1 día y sucia. corte x semana santa ( x tirar el agua),sí se dan cuenta,antes no,"1, 2, 3",5,5/1-3,10,normal% 8 am-1 pm. rara vez en madrugada. la pueden quitar en cualquier momento // casa anterior impredecible--pero 2 tinacos ayudan,1-3 días; normal% 8 am-1 pm,No,c/0 m(?) --> 1 tambo,
479,"semana santa, diciembre","semana santa--> xq gente la tira--> avisan--> 2 semanas.  
dic--> no sabe. deja de caer simplemente, a lo mucho una semana--> a lo mejor al hacer tubería tiene q cambiar las x partes podrían dar mantenimiento a toda de una vez.",cortan/deja de caer,Intermitente,,1 a 3 días a la semana,3 o 4 días x semana. últimos años --> agua c/vez + sucia + pecada con tierrita. Antes solo amarilla,sí se dan cuenta,,"3, 4",3-4,3-4/3-4,12.25,"8-9 a 12 pm--> usual% --> a veces solo sube un chorrito o nada. Aveces en la mañana no están. --> en la mañana si no cae, puede q caiga en tarde o noche",8-9 a 12 pm; 3-4 días x semana,a veces,hay días en que sube buena presión. Otras veces no. c) a veces,
480,"época de calor, feb, marzo, abril","marzo-feb-abril--> tiempo de calor. xq no se llenan los pozos xq no llueve y xq desperdician. 
hasta 1 semana, 15 días--> varia mucho--> cuando es manten. avisan--> 1 vez al año. Tb cortan agua--> vi-sa-do-lun",cortan/deja de caer,Intermitente,,4 a 6 días a la semana,,sí se dan cuenta,sí se dan cuenta. Esta conectada llave a cisterna --> suena. Podrían no saber si no están.,4,4-5,4-5/4,18,4 días x semana--> 4-5 horas--> regular% 8am-1pm,4 días x semana--> 4-5 horas--> regular% 8am-1pm,Sí,cuando cae,
481,semana santa,"semana santa--3 días, 1 semana. Cuando cae, cae poca--> cuando se gasta más--> se tira más. --> internal(?)",disminuye,Intermitente,,4 a 6 días a la semana,lo normal,N/A,tienen q checar todo el tiempo,"4, 5, 6",6,6/4-6,30,8am-2pm (casi siempre),4 a 6 días a la semana; 8am-2pm,N/A,no saben--cisterna,
482,N/A,No cortan durante semana santa. Cuando hacen arreglos--> 2 o 1 vez al año--> les avisan. A veces les cae igual,N/A,Intermitente,,Diario,donde ha vivido siempre hay agua,sí se dan cuenta,se enteran--> abuela--> diario lava ropa y trastos//no puede lavar si queda menos de la mitad del tinaco,7,20,20/7,140,"5pm se va, vuelve 9pm. Resto del tiempo cae.",diario; 9pm-5pm,Sí,mucha!,
483,"semana santa, abril, mayo","abril-mayo--no avisan-->15 -10 min al día } supuesta% admin toma esa decision. NO sabe cuando caen. Falta en esa época x semana santa--> no sabe xq en esa época
--> podría ser cualquier momento--pero solo unos días poco presión (?)",,Intermitente,,Diario,,N/A,comunidad,7,24,24/7,168,,,Sí,,
400,"marzo, abril","escasea en marzo-abril, no sé por qué.",disminuye,Intermitente,,Diario,,sí se dan cuenta,si nos damos cuenta de cuando no llega el agua porque nosotros abrimos la llave de paso,7,3,3/7,21,Diario de 9-12 pm. Después ya no hay en el día ni en la noche.,Diario de 9-12 pm,N/A,Hay días que cae con buena presión y días que solo cae un chorrito.,
401,"verano, mayo, junio, julio",verano--mayo a julio. cae solo miércoles y a veces jueves,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,N/A,,3,8-9,8-9/3,25.5,"martes, miércoles, mañana jueves} mañana y noches--> 5am a las 9 o 10am. 8pm a 12am","martes, miércoles, mañana jueves} mañana y noches--> 5am a las 9 o 10am. 8pm a 12am",Sí,,
402,semana santa,semana santa--quitan y avisan--1 semana--> xq gente se avienta agua. Gente junta y se aventar agua igual,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,cada 3er día,N/A,constante% revisan llave --> tienen que checar. Cuando cae aprovechan de hacer todo,"2, 3",~10,~10/2-3,25,cada 3er día. Llega a las 10am se va 8pm o a veces llega en la noche o tarde. Raro q pasen mas de 3 días--> vecinos de la calle les cae y a ellos no.,cada 3er día. Llega a las 10am se va 8pm o a veces llega en la noche o tarde,Sí,,
403,abril,"abril--casi todo el mes cae poco, todos los días pero menos-->todo el mes, no sabe xq",disminuye,Intermitente,,Diario,,N/A,,7,3-4,3-4/7,24.5,"diario, de 8 o 9am-hasta 12pm.","diario, de 8 o 9am-hasta 12pm.",Sí,x tinaco,
404,N/A,todo el año parejo,igual,Intermitente,,Diario,"27 al mes (3 no). Aveces cae un día si, un día no.",podria ser (q no se dan cuenta),podría ser q no llega y no se dan cuenta --> abuela revisa (?) cisterna,7,6,6/7,42,7 am a 1 pm.,diario; 7 am a 1 pm.,Sí,tinaco y cisterna,
405,semana santa,semana santa--la quitan x gente q la tira,cortan/deja de caer,Intermitente,,1 a 3 días a la semana,,sí se dan cuenta,deja llave toma (?)--> dejan abierta antes de dormir o cuando saben q va a caer--se fan cuenta de que se llena si se riega.,"1, 2, 3",5,5/1-3,10,"llegó el sábado, --> 8 días sin agua. cada tercer día (lunes, miércoles, etc)--> x horario solo mañana (10am-3pm)",cada tercer día; 10am-3pm,Sí,tinaco,
406,abril,Porque arreglaron las tuberías,disminuye,Intermitente,"todos los días, 5 horas al día.",Diario,,N/A,no hay tinaco ni cisterna,7,11,11/7,77,lunes a domingo 11pm a 10am. Durante el día cae muy poca.,lunes a domingo 11pm a 10am,Sí,,
