SampleID,MonthIntenseScarcity,Comm_MonthIntsenseScarcity,ScarcirtyType,ContinIntermit,Comm_ContinIntermit,FreqSupply4weeks,Comm_FreqSupply4weeks,AwarenessCutoffs,Comm_AwarenessCutoffs,NumDaysSupply,NumHrsDaySupply,HrsDaySupply_FIX,HrsWaterWeek,Comm_supply,Comm_HrsSupply,SufficientWPressure,Comm_SuffWPressure,Comm_general
196,N/A,la segunda mitad del año no llega,,Intermitente,"actual% cae hasta cada 15 dias, 4 hrs por 2-3 dias seguido","en todo el mes, 1 a 3 veces",,,,4,3,4/3??,12,"los lunes, martes, y miercoles, por 4 hrs. Los dias pueden cambiar","actualmente cae hasta cada 15 dias, 4 hrs por 2 o 3 dias seguido; en todo el mes, 1 a 3 veces: los lunes, martes, y miercoles, por 4 hrs. Los dias pueden cambiar",Yes,,went w/what preg5 says but look at preg4 and 3
197,"marzo, abril",se reduce un 60%,,continua,en las tardes reduce un 70% la presión,diario,,,,7,24,24/7,168,"todo el dia, todos los dias hay agua. Sólo varía en la presión del agua disminuye por las tarde. ","todo el dia, todos los dias hay agua. Sólo varía en la presión del agua disminuye por las tarde. ",Yes,,
198,N/A,estable siempre,,Intermitente,6-11 lu-miercoles,1 a 3 dias a la semana,,,,3,5,3-May,15,6am a 11pm--lunes a miércoles,6am a 11pm--lunes a miércoles,Yes,tienen una cisterna conectada y cisterna para que tenga fuerza--cae gota x gota desde calle,
199,"época de calor, mayo","avisan c/anticipaø, cuando hacen limpieza",,Intermitente,hasta una semana han estado,diario,,,,7,4,7-Apr,28,8am a 12pm,8am a 12pm; diario,Yes,,
200,"abril, mayo",se reduce un 50%,,Intermitente,solamente tiene agua de 8 am-11:30,diario,,,,7,3,7-Mar,21,todos los dias solo por 3 hrs al dia,todos los dias solo por 3 hrs al dia,No,"a veces, no siempre tienen buena presión. La cisterna les ayuda mucho.",
201,"semana santa, junio, julio",cada 4 meses cierran el agua ,,Intermitente,"de 9-11 de la mañana, todos los dias",diario,,,,7,3,7-Mar,21,"diario, solo 3 horas al dia","diario, solo 3 horas al dia",No,"No, porque solo sale con presión 3 horas al dia. El resto del dia es agua de la bomba",
202,semana santa,--gente se moja. casi no cae agua. les avisan que se corta x eso. multan x desperdicia. cortan x 3 dias. --> fuera de esto no hay fechas como tal. muy variable,,N/A,"siempre llega, casi no batallan. cortan cuando hacen manteø--> 2 o 3 dias. total cortan 2 veces al año",diario,,,,7,3,7-Mar,21,9am-12pm,diario; 9am-12pm,Yes,se turnan para lavar ropa. tina para lavar trastes. dejan manguera para que se llene pileta les alcanza para todo.,
203,"marzo, abril",,,Intermitente,"a veces corta x 3 dias, o les cae un chorrito chiquito",diario,,,,7,4-Mar,3/4/2007,24.5,9am hasta 12-1pm. Podría ser menos pero no la notan x cisterna,9am hasta 12-1pm. Podría ser menos pero no la notan x cisterna,Yes,"a veces. llave directa de calle a cisterna. tarda más en llegar, baja presión. solo quienes viven en porte baja. ella vive (?)",
204,"marzo, abril, mayo, junio",,,Intermitente,de 8am-12 de la tarde,diario,,,,7,4,7-Apr,28,"diario, solo 4 hrs al dia","diario, solo 4 hrs al dia",Yes,,
301,N/A,no escasea,,Intermitente,"1 vez a la semana, se llena 1 tinaco y 2 piletas. (es para ella y p/la gente que renta (7 mas personas)). su idea de escasez es particular",1 a 3 dias a la semana,,,,2,3-Feb,2/3/2002,5,"2 dias y llega 2 o 3 hrs. x ejemplo, llega un martes y un viernes, o lunes y jueves","2 dias y llega 2 o 3 hrs. x ejemplo, llega un martes y un viernes, o lunes y jueves",Yes,si llega c/presión para llenar buena las piletas. ella tiene aparte 2 tambos. Ese dia que llega puede lavar y dejar todo lleno.,
302,N/A,cuando anuncian que haran limpieza del cutzamala,,Intermitente,"de 8am-2pm, 5 dias a la semana",4 a 6 dias a la semana,,,,5,6,5-Jun,30,"de 8am a 2pm, 5 dias a la semana","de 8am a 2pm, 5 dias a la semana",Yes,,
303,semana santa,"en epocas de semana santa. llega 2 veces x semana, igual de 8 a 6pm.",,Intermitente,"llega a las 8am-6pm todos los dias, pero el dgo baja un poco (llega de 8am-3pm)",1 a 3 dias a la semana,,,,5,10,10/5??,50,lunes a viernes de 8am a 6pm.,lunes a viernes de 8am a 6pm; pero el domingo baja un poco (8am a 3pm),Yes,,preg5: 10/5 or preg3: 10/6 + 7/1
304,"abril, mayo",,,Intermitente,preg 5,diario,,,,7,2,7-Feb,14,llega 7 dias a la semana por 2 horas en la mañana,llega 7 dias a la semana por 2 horas en la mañana,Yes,,
305,"arreglos/mantenimiento, N/A",no percibe ningun mes. Solo cuando se rompen tuberias,,Intermitente,preg 5,diario,,,,7,6-May,5/6/2007,38.5,"llega 7 dias a la semana, por 5-6 hrs","llega 7 dias a la semana, por 5-6 hrs",Yes,,
306,semana santa,"la cortaron 3 dias, pero como recolectan no impacto en casa",,Intermitente,"tienen agua de 7 dias, 6 llega agua de 8am-12 del dia. Cuando escasea, un dia no llega",1 a 3 dias a la semana,,,,7,4,7-Apr,28,"tienen agua 7 dias, y llega agua de 8am a 12 del dia","tienen agua 7 dias, y llega agua de 8am a 12 del dia",Yes,a veces hasta tiene mucha presión (necesidades!!),
307,N/A,"en la pandemia, semanas si llego, semanas no",,N/A,"(Intermitente) todos los dias de 7am a 12 del dia. P/ahorrar agua, ellos guardan y almacenan. ",diario,,,,7,5,7-May,35,"todos los dias, de 7am a 12 del dia. ","todos los dias, de 7am a 12 del dia. (preg 4 dice oir audio)",Yes,,
308,N/A,semana. cortan el agua hasta una semana o dos dias. en esos dias la almacenan tb,,Intermitente,llega a perfil de las 6am-12:30 d´âs. Tienen tinacos y ahi la almacenan,4 a 6 dias a la semana,ya fue la semana santa y una semana antes de eso la quitaron 1 semana,,,"4, 5, 6",6.5,6.5/4-6,32.5,llega a perfil de las 6am y la cortan 12:30 dia. Tienen tinacos y ahi almacenan,llega a perfil de las 6am y la cortan 12:30 dia. Tienen tinacos y ahi almacenan,Yes,,
309,abril,en abril la quitaron. Todo el mes. Pidieron pipas p/ese mes. A veces les piden c/politicos porque no te cortan(?). pagaron 1600 para la pipa esta ves.,,N/A,"(Intermitente) lu, miercoles, y viernes, le llega en la mañana de 9am-12 dia",1 a 3 dias a la semana,pero le llegó muy poquita,,,"1, 2, 3",3,3/1/2003,6,"lunes, miercoles y viernes 9am a 12 dia","lunes, miercoles y viernes 9am a 12 dia",No,"xq como esta sucia, tapa los tubos x donde pasa el agua.",
310,abril,,,Intermitente,"llega en la mañana, a las 8:00am-4:00pm. En abril se fue 3 dias",4 a 6 dias a la semana,,,,7,8,7-Aug,56,5 dias de 8am a 4pm,5 dias de 8am a 4pm,Yes,,
311,"abril, mayo",,,Intermitente,"recibe cada 15 dias, por 5-6 dias",1 a 3 dias a la semana,,,,"1, 2, 3",?,??/1-3,,"llega un jueves, se va el sabado y pasa 15 dias para que vuelva a recibir agua.","llega un jueves, se va el sabado y pasa 15 dias para que vuelva a recibir agua.",Yes,,
312,semana santa,"semana santa, se la quitaron viernes santo y sábado de gloria que todos se mojan.",,Intermitente,"de 8am a medio dia, toda la semana",diario,excepto viernes y sabado de gloria,,,7,4,7-Apr,28,"de 8am a medio dia, toda la semana","de 8am a medio dia, toda la semana",Yes,,
313,diciembre,"se fue como 2 semanas. Escuchar audio. Solo le toco esa vez, no es constante la escasez. ",,continua,antes vivía más arriba de la misma colonia y ahí Yes habia agua solo en la mañana,diario,,,,7,??,??/7,168,,adaptacion preg 3,Yes,,continua? 24/7
314,"abril, mayo, junio",,,Intermitente,"2 hrs al dia, una vez a la semana. Han llegado a pasar hasta 3 meses sin agua.",1 a 3 dias a la semana,,,,3,2,2/3??,6,"lunes, miercoles, y viernes, solo 2 hrs al dia","lunes, miercoles, y viernes, solo 2 hrs al dia (preg 3: 1 vez a la sem)",Yes,,preg5
315,,,,Intermitente,agua no llego por 3 semanas; horario no es fijo,,,,,,,,,,,,,
316,semana santa,cortan ela gua. servicio publico de agua casi no llega se abastece de pipa.,,Intermitente,"llega 2 veces al mes, 1 dia completo a principios de mes y 1 dia completo a finales de mes. (no le ha llegado agua desde semana santa.)","en todo el mes, 1 a 3 veces",,,,N/A,?,??,0,no ha llegado agua a su vivienda. Piden pipa.,"llega 2 veces al mes, 1 dia completo a principios de mes y 1 dia completo a finales de mes.",No,"no, sale muy poca agua",no ha llegado agua a su vivienda. piden pipa
317,"semana santa, abril",la cortan,,Intermitente,3 hrs al dia. No llega todos los dias. Aveces solo llega 4 dias a la semana.,4 a 6 dias a la semana,,,,4,3,4-Mar,12,"3 hrs, 4 dias/sem","3 hrs, 4 dias/sem",No,sale con baja presión,
318,abril,,,Intermitente,"diario, de 2-3 hrs",diario,,,,7,5-Feb,2-5/7??,24.5,"todos los dias, solo 2 a 3 hrs. De las 7am-12pm","todos los dias, solo 2 a 3 hrs. De las 7am-12pm",Yes,,2-3 hrs x 7 or 5hrs x 7 or 2-5 hrs x 7
319,"semana santa, abril",usualmente semana santa. abril usualmente tiene,N/A,Intermitente,,Diario,"hace 2 semanas llega diario, pero 8am-2pm. Antes de eso, nada x 2 semanas. Reciente, últimas 2 semanas, todo el dia",se da cuenta,"se da cuenta porque cocina al lado de cisterna, y suena cuando llega. Hay un ? pero igual esta pendiente de q un se riegue",7,6,7-Jun,42,informacion basada en la respuesta de la p4,,Yes,,
320,"época de calor, abril, marzo, feb","en la temporada de calor, feb, marzo, abril. Quiza xq en esta epoca la gente la usa más",N/A,Intermitente,,Diario,,no se da cuenta,,7,3,7-Mar,21,"Lunes a domingo, 9am a 12 dia.","9-12, Lun-Dom",Yes,,
321,"epoca de lluvias, julio, agosto",Quizá porque sus vecinos si tienen algunos captación de lluvia,N/A,Intermitente,lun-dom de 8:30 o 9:00am-12:00 dia,Diario,"en semana santa a ella no le quitaran el agua, quizá xq el conducto de su colonia es ""principal"". escuchar audio",no,,7,3,7-Mar,21,lun-dom de 8:30~9:00am-12:00 dia,lun-dom de 8:30 o 9:00am-12:00 dia,Yes,,
322,semana santa,"Yes, en semana santa xq la gente la desperdicia mucho. Se las quitan como 15 dias y deben pedir pia.",cortan/deja de caer,Intermitente,Lunes a dom de 8:30 a 11:30 am,4 a 6 dias a la semana,,no response,,7,3,7-Mar,21,Lunes a dom de 8:30 a 11:30 am,Lunes a dom de 8:30 a 11:30 am,no response,solo en un lapso de 2 hrs,
323,semana santa,por la tradición de mojarse,N/A,Intermitente,"Diario de lunes a domingo, 20 mins. En las mañanas como a las 8:00 am.",Diario,"Diario de lunes a domingo, 20 mins. En las mañanas como a las 8:00 am.",no response,,7,0.3 (20 minutos),0.3/7 (140 mins/sem),2.3,Normal le llegó.,20 mins cada dia,Yes,con esos 20 minutos se llenan sus tinaco y aYes.,
324,semana santa,en semana santa si se las quitan todos los domingos de ese lapso xq tienden a mojarse,cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,"Solo llega los domingos como dos horas de 5 am o 6, 7 am.",no response,,1,2,1-Feb,2,,"solo llega los domingos dos horas de 5 am o 6, 7 am.",Yes,,
325,semana santa,semana santa la quitan. se la quitan 1 semana.,cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,"lunes, martes, miércoles de 8 am-12 dia.",no response,,3,4,3-Apr,12,"lunes, martes, miércoles de 8 am-12 dia. Se turnan para apartar el agua. Se organiza c/sus vecinos y su esposo entre todos se ayudan.",,Yes,,
326,"abril, mayo",abril-mayo,N/A,Intermitente,,Diario,"poquito, por las noches --> madrugada --> llega a cisterna, luego mañana (8 a 10) encienden bomba y mandan a todas las casas",no response,,7,~2,~2/7,14,(8 a 10),,Yes,,
327,igual,,igual,no response,,Diario,algunos dias llega poca. Hilito. Hay dias en q sale más de lo regular.,no response,,7,no response,no hay respuesta definitiva para horas pero es diario (7 dias),no sabemos horas,,,Yes,por tambo,
328,"época seca, marzo, abril, mayo, junio","tiempos de sequía, disminuye (marzo, abril, mayo, junio). pozo, no sube c/fuerza. La usan bien, no desperdician.",disminuye,Intermitente,,Diario,pero poca,Yes,"no cae a las 9, ya no cae.",7,3-Feb,2/3/2007,17.5,9 am~12 pm u 11 am,,Yes,,
329,"primavera, semana santa","Al año, cortan 3 veces al año. Se ha ido hasta por un mes. Primavera-mojarse x semana santa --> escasea más, llega poca. Puede q llegue de 6 am-10 am.",cortan/deja de caer,Intermitente,,Diario,excepto 1 dia 1/2,Yes se dan cuenta,"hace 3 dias cortaron agua--1 dia y medio c/agua de cisterna. Abuelo se da cuenta--manguera conectada a toma-- suena, saben q llega.",7,6,7-Jun,42,6 am~12 pm,,Yes,A veces manguera se topa y agua no sube. 1 c/2 semanas mamá la limpia. Ahora esta a cargo de limpiar el tinaco--> 1 a la semana o turnos,
330,N/A,"no les llega ahora, hace 1 mes nada nada. Cuando vuelve de periodos largos--gusanitos negros",N/A,Continua,,no ha llegado en las ultimas 4 semanas,normal% tienen todo el dia todos los dias,N/A,llave cisterna siempre abierta,N/A,N/A,no han recibido en agua en 4 semanas,0,"este año es especial, les ha faltado más. Antes caía limpia y solo cortan en semana santa. Cree q ya no queda.",,No,lavar ropa,
390,"marzo, abril, mayo",la cortan xq gente la tira. Abril y mayo este año si escaseó más. no caía x 8 dias,cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,,N/A,,"1, 2, 3",N/A,1-3 dias,no sabemos horas,"A veces 1 dia a veces 3. Usual% les cae miércoles (medio dia solamente), jueves, viernes, sábado mañana (mejor de los casos). A veces solo viernes",no sabemos las horas que cae (si cae miercoles--> medio dia solamente y si cae sábado--> mañana solamente),Yes,no siempre,
391,"semana santa, abril","Semana santa, abril, porque en este tiempo se moja la gente y por las vacaciones de la mayona, desperdicien el agua y la quitan.",cortan/deja de caer,Intermitente,"2-3 veces x semana, varia el horario",1 a 3 dias a la semana,,Yes se dan cuenta,si deja de llegar,"2, 3",algunas horas,varia el horario/2-3,varía,"2 o 3 veces en la semana, algunas horas durante el dia o la noche. Es variable al tiempo.",Intermitente 2-3 veces por semana,No,"porque a veces es muy poquita, un chorrito nada más",
392,"marzo, abril","Marzo-abril, no se porqué.",N/A,Continua,,Diario,,Yes se dan cuenta,"Yes nos damos cuenta si no hay agua, porque estamos en planta alta y no sube agua cuando no hay. (Edificio con 3 deptos)",7,24,24/7,168,Diario (24 hrs). En la noche jay mayor presión.,,Yes,,
393,"marzo, abril","marzo-abril, porque hace más calor y se ocupa más agua.",N/A,Intermitente,2 veces a la semana,1 a 3 dias a la semana,,Yes se dan cuenta,si deja de llegar,2,8,2-Aug,16,"Miercoles y sabados, de las 7am- 3pm.",,No,No es con buena presión.,
394,"marzo, abril, mayo, junio, julio, agosto, septiembre","Marzo-abril hasta septiembre escasea, creo que es por las elecciones que nos la quitan.",cortan/deja de caer,Intermitente,,Diario,"De lunes a miércoles escasea, jueves y viernes es cuando hay más.",Yes se dan cuenta,Yes nos damos cuenta cuando no hay agua.,7,N/A,hasta 2-3 pm (2 dias) y hasta 11 am (5 dias) /7,varía,"Diario, pero los dias que más hay son jueves y viernes. Hasta 2-3 pm y los demas dias solo hasta 11 am. NO cae en las noches ni madrugadas.",Viernes único dia con buena presión. Horas que reciben no son claras.,No,El viernes es el unico dia que llega con buena presión para todos neustras actividades,
395,"semana santa, marzo, abril","Marzo-abril, en semana santa avisan que van a quitar el agua.",cortan/deja de caer,Continua,8am-5pm,Diario,,Yes se dan cuenta,Yes nos damos cuenta,7,9,7-Sep,63,Diario 8am-5pm,,Yes,,
396,no sabe,no he puesto cuidado,no sabe,Intermitente,,1 a 3 dias a la semana,,Yes se dan cuenta,siempre nos damos cuenta,"2, 3",24,24/2-3,60,"2-3 veces a la semana, todo el dia y noche.","todo el dia y noche, 2-3 veces a la semana",Yes,,
397,igual,todo el año les cae igual. en la noche cae más. En la tarde todos lavan,igual,Intermitente,,Diario,,podria ser,,7,~24,24/6 + 7/1,151,todo el dia/ sabado falta- cae menos y se corta a las 2pm. Regresa en madrugada. (~7 hrs los sabados),24 hrs todos los dias excepto los sabados (7am-2pm; 7 hrs; hice un average=21.5 hrs),No,esperar q se llena pileta para lavar,
398,igual,,igual,Intermitente,,Diario,,Yes se dan cuenta,deja de caer pero Yes nos damos cuenta porque se oye,7,6,7-Jun,42,"Diario, por las mañanas de 6-12 am (?)",?dice por las mañanas 6-12 am (quiere decir 6 am-12 pm?),Yes,,
399,semana santa,semana santa. A veces avisan q no va a caer--> siempre avisan,cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,,podria ser,tienen q checar llave,"2, 3, 4",8-Jul,7-8/2-4,#NAME?,"jueves, viernes, a veces sábado, a veces dgo. 7 am-2 o 3 pm","jueves, viernes, a veces sábado, a veces dgo. 7 am-2 o 3 pm",No,han tenido q dejar lavar diario--ahora solo fin de semana. a veces bañarse menos dias.,
410,semana santa,Semana Santa. Cree que el gobierno cierra el suministro para que no la tiren.,N/A,Intermitente,,1 a 3 dias a la semana,dice 1 a 3 tres y luego dice que llega 7 dias/semana porque hace 15 dias no llegaba tan frecuentemente,Yes se dan cuenta,Yes se dan cuenta (por la llave),7,no sabe,no sabe/7,varía,"Ahorita llega 7 dias a la semana Lunes a Domingo (ultimamente). Aveces hay en la mañana o en la noche, no sabe a que hora hay agua.","aveces hay en la mañana o en la noche, no sabe a que hora hay agua. ",Yes,Ahorita. Hace 15 dias no.,
411,"abril, mayo",Abril a mayo empezó problema--> no idea por que. en noticias dijeron q bajó nivel Cutzamala. Regularmente hay agua siempre solo en llave de abajo y no sale tan sucia--> mayor parte del dia. Caía siempre. Sucia nunca había llegado pero si siempre abril y mayo cae poca.,disminuye,Intermitente,no hay respuesta pero basado en las otras respuestas diria que es Intermitente.,4 a 6 dias a la semana,"aveces no alcanza a subir a la 1era planta--> solo llega a planta baja--> cerca de toma principal, resto no llegaba",podria ser,no tinaco ni cisterna. Toda la última semana ha caído pero sucia y poca presión.,"4, 5, 6",no sabe ,varía mucho/4-6,varía,llenar diario tambos y cubetas. Varía mucho. Aveces esperando desde 5 am que caiga--> dejan llave abierta--> se escucha cuando cae. a veces no llegaba un dia y cuando cae es c/mucha tierra.,dice que llega agua entubada 4-6 dias/sem. pero entonces dice que llena tambos y cubetas diario,No,para lavadora no. A la almacena por el dia o para lavar --> no los dos,
412,semana santa,Semana Santa. Como un mes les cortaban el agua despues de las tres.,cortan/deja de caer,Continua,,Diario,,siempre hay agua/no deja de caer,Siempre hay agua--no deja de caer. Tiene una llave que el agua sale directo de la toma de agua y sale todo el dia.,7,24,24/7,168,"Después de las 3 de la tarde baja la presión, pero nunca deja de caer.",baja presion después de las tres,Yes,,
413,semana santa,semana santa--la cortan el viernes y vuelve en domingo. Cree q por sábado de gloria,cortan/deja de caer,Intermitente,,Diario,pero no todo el dia,podria ser,,7,N/A,NA/7,varía <24,en la mañana hay más. cortes no son predecibles! // semana pasada se corto unos 2 dias x un par de horas,no cae todo el dia. es Intermitente. hay más en la mañana,Yes,,
414,semana santa,en vacaciones de semana santa disminuye un poco pero no deja de caer el agua.,disminuye,Continua,,Diario,Siempre llega muy bien,siempre hay agua/no deja de caer,No deja de caer el agua,7,24,24/7,168,"todos dias de lunes a domingo, todo el dia.",,Yes,,
415,"semana santa, marzo, abril",semana santa --marzo y abril--dicen q la cortan. // regular% otros años este año ha faltado mucho el agua--no sabe xq.,cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,,no se dan cuenta,si,2,no todo el dia,<24/2,no sabemos horas,"2 veces x semana, no todo el dia",no cae todo el dia,No,si viene sucia baja presión,
416,semana santa,Semana santa. La quitan por la gente que gasta agua.,cortan/deja de caer,Intermitente,,Diario,Algunas horas,no se dan cuenta,Yes. no se dan cuenta,7,<24,<24 (~12)/7,no sabemos horas; maybe around 12,Yes. No se da cuenta. En la noche no hay agua.,en la noche no hay agua / cae algunas horas, a veces,Aveces.,
417,semana santa,"semana santa--se corta--solo cae en las noches. antes no les había faltado pero, ahora cae bien temprano y luego se corta",cortan/deja de caer,Intermitente,,Diario,pero muy poca,N/A,tienen llaves (baño-cocina) conectadas directo a afuera,7,24,24/7,168,todo el dia pero poquita//solo lavadero esta conectado al tinaco. caía más pero última% les cae poquita--en la colonia se ha ido mucho.,pero sale poca,No,les cae poquita/lavar. no puede enjuagar bien.,
418,"marzo, abril, mayo","Marzo-mayo; en muchas regiones hay escasez de agua, creo que igual pasa aquí.",disminuye,Continua,,Diario,,Yes se dan cuenta,"Dejó de llegar 3 o 4 dias (al mes), pero Yes nos pre(?).",7,24,24/7,168,"Diario, todo el dia y noche","diario, todo el dia y noche; continua",Yes,,
419,"verano, junio, julio","vacaciones verano--junio--> hacen arreglos--les avisan que va a disminuir
julio--> 2 o 3 dias. La quitan viernes, sab, dgo",cortan/deja de caer,Intermitente,,Diario,,podria ser (q no se dan cuenta),podría ser un dia no cae y no se dan cuenta,7,8-Jul,7/8/2007,#NAME?,en la tarde ya no cae. 6 o 7 am hasta 2 pm,diario; 6 o 7 am hasta 2 pm,Yes,esta calle llega c/buena presión. Más arriba no. Calle de otra dicen q no la (?),
470,N/A,no. regular.,igual,Continua,antes dijo 1-3 dias y que 5 dias sin agua,1 a 3 dias a la semana,,no se dan cuenta,no se darían cuenta. solo se dan cuenta en tarde y noche --> chorro baja presión y pileta no se llena completa%,2,24,24/2,48,"5 dias sin agua // última semana si todo el dia--> buena presión. ella cree q estaban abriendo calles, cayó hasta c/piedras y no avisaron",?llega 1-3 dias a la semana; 5 dias sin agua; continua,No,de la calle es bajita--> ahorita ya no (últimos 5 meses),
471,semana santa,En semana santa la recortan para que no se desperdicie en sabado de gloria.,cortan/deja de caer,Intermitente,,Diario,"en las madrugadas, de 3 am c/a 10 u 11 am. Cuando lava lo hace muy temprano y por el resto del dia almacena en cubetas.",N/A,,7,8-Jul,7/8/2007,52.5,comentarios en 4) -->igual,diario; 3 am c/a 10 u 11 am,a veces,solo en la mañana. a veces debe llenar una tina en lo que hace otras cosas,
472,N/A,no. siempre igual. (see preg 6),igual,Continua,,Diario,,N/A,no tiene cisterna ni tinaco,7,24,24/7,168,24/7,,Yes,AHORA // marzo-abril -->no,
473,N/A,solo hasta 1 mes sintió que no llegó agua. A otros vecinos les pasó igual aYes que se unieron p/protestar y se dieron cuenta que las pipas estaban topando de la bomba que los abastece.,N/A,Continua,,Diario,24/7 --> solo cambia la presión. Llega bien de 11 pm a 5 am.,podria ser (q no se dan cuenta),Yes podría pasar,7,24,24/7,168,24/7,,Yes,,
474,"primavera, marzo, abril","marzo, abril (primavera)--> no avisan. --> poca presión y la calidad seguía buena",disminuye,Continua,,Diario,,podria ser (q no se dan cuenta),,7,24,24/7,168,buena presión,,Yes,,
475,semana santa,semana santa,N/A,Continua,preg 4 y 5: llegó 2 veces x semana,N/A,2 veces x semana (escaseó). Hace 2 semanas no llegó 1 dia.,Yes se dan cuenta,"Yes se dan cuenta, porque la toma que tienen en el baño le llega de la toma directa.",2,N/A,NA/2 ? o 24/7,168 ?,"escaseó y le llego 2 veces x semana, y como no tiene fuente de almacenamiento no aportó.","preg 4 y 5: 2 veces/semana 
preg 3: continua",No,"cae poco, pero puede usarlo",
476,"época de calor, marzo, abril, mayo",tiempos de calor--nunca batallan con el agua. --> les cae menos marzo-abril-mayo,disminuye,Continua,,Diario,,N/A,tienen otras llaves directo a toma.,7,24,24/7,168,,,Yes,buena presión,
477,época seca,en estas fechas por la sequía,disminuye,Intermitente,Diario 6am-12 dia,Diario,de 6 am-12 dia,no se dan cuenta,Yes.,7,6,7-Jun,42,"Diario, 6am-medio dia",Diario; 6am-12 dia,a veces,"a veces, a veces llega con fuerza, otras. pero frecuentemente Yes llega.",
478,"semana santa, abril","abril-semana santa, 1 semana. // casa anterior",N/A,Intermitente,,1 a 3 dias a la semana,2 semanas cayó. solo 1 dia y sucia. corte x semana santa ( x tirar el agua),Yes se dan cuenta,antes no,"1, 2, 3",5,5/1/2003,10,normal% 8 am-1 pm. rara vez en madrugada. la pueden quitar en cualquier momento // casa anterior impredecible--pero 2 tinacos ayudan,1-3 dias; normal% 8 am-1 pm,No,c/0 m(?) --> 1 tambo,
479,"semana santa, diciembre","semana santa--> xq gente la tira--> avisan--> 2 semanas.  
dic--> no sabe. deja de caer simplemente, a lo mucho una semana--> a lo mejor al hacer tubería tiene q cambiar las x partes podrían dar mantenimiento a toda de una vez.",cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,3 o 4 dias x semana. últimos años --> agua c/vez + sucia + pecada con tierrita. Antes solo amarilla,Yes se dan cuenta,,"3, 4",4-Mar,3-4/3-4,12.25,"8-9 a 12 pm--> usual% --> a veces solo sube un chorrito o nada. Aveces en la mañana no están. --> en la mañana si no cae, puede q caiga en tarde o noche",8-9 a 12 pm; 3-4 dias x semana,a veces,hay dias en que sube buena presión. Otras veces no. c) a veces,
480,"época de calor, feb, marzo, abril","marzo-feb-abril--> tiempo de calor. xq no se llenan los pozos xq no llueve y xq desperdician. 
hasta 1 semana, 15 dias--> varia mucho--> cuando es manten. avisan--> 1 vez al año. Tb cortan agua--> vi-sa-do-lun",cortan/deja de caer,Intermitente,,4 a 6 dias a la semana,,Yes se dan cuenta,Yes se dan cuenta. Esta conectada llave a cisterna --> suena. Podrían no saber si no están.,4,5-Apr,4/5/2004,18,4 dias x semana--> 4-5 horas--> regular% 8am-1pm,4 dias x semana--> 4-5 horas--> regular% 8am-1pm,Yes,cuando cae,
481,semana santa,"semana santa--3 dias, 1 semana. Cuando cae, cae poca--> cuando se gasta más--> se tira más. --> internal(?)",disminuye,Intermitente,,4 a 6 dias a la semana,lo normal,N/A,tienen q checar todo el tiempo,"4, 5, 6",6,6/4/2006,30,8am-2pm (casi siempre),4 a 6 dias a la semana; 8am-2pm,N/A,no saben--cisterna,
482,N/A,No cortan durante semana santa. Cuando hacen arreglos--> 2 o 1 vez al año--> les avisan. A veces les cae igual,N/A,Intermitente,,Diario,donde ha vivido siempre hay agua,Yes se dan cuenta,se enteran--> abuela--> diario lava ropa y trastos//no puede lavar si queda menos de la mitad del tinaco,7,20,20/7,140,"5pm se va, vuelve 9pm. Resto del tiempo cae.",diario; 9pm-5pm,Yes,mucha!,
483,"semana santa, abril, mayo","abril-mayo--no avisan-->15 -10 min al dia } supuesta% admin toma esa decision. NO sabe cuando caen. Falta en esa época x semana santa--> no sabe xq en esa época
--> podría ser cualquier momento--pero solo unos dias poco presión (?)",,Intermitente,,Diario,,N/A,comunidad,7,24,24/7,168,,,Yes,,
400,"marzo, abril","escasea en marzo-abril, no sé por qué.",disminuye,Intermitente,,Diario,,Yes se dan cuenta,si nos damos cuenta de cuando no llega el agua porque nosotros abrimos la llave de paso,7,3,7-Mar,21,Diario de 9-12 pm. Después ya no hay en el dia ni en la noche.,Diario de 9-12 pm,N/A,Hay dias que cae con buena presión y dias que solo cae un chorrito.,
401,"verano, mayo, junio, julio",verano--mayo a julio. cae solo miércoles y a veces jueves,cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,,N/A,,3,9-Aug,8/9/2003,25.5,"martes, miércoles, mañana jueves} mañana y noches--> 5am a las 9 o 10am. 8pm a 12am","martes, miércoles, mañana jueves} mañana y noches--> 5am a las 9 o 10am. 8pm a 12am",Yes,,
402,semana santa,semana santa--quitan y avisan--1 semana--> xq gente se avienta agua. Gente junta y se aventar agua igual,cortan/deja de caer,Intermitente,,1 a 3 dias a la semana,cada 3er dia,N/A,constante% revisan llave --> tienen que checar. Cuando cae aprovechan de hacer todo,"2, 3",~10,~10/2-3,25,cada 3er dia. Llega a las 10am se va 8pm o a veces llega en la noche o tarde. Raro q pasen mas de 3 dias--> vecinos de la calle les cae y a ellos no.,cada 3er dia. Llega a las 10am se va 8pm o a veces llega en la noche o tarde,Yes,,
